state,ecvotes,dem,whig,whigwhite,whigwebster,other
Alabama,7,20638,0,16658,0,0
Arkansas,3,2380,0,1334,0,0
Connecticut,8,19294,18799,0,0,0
Delaware,3,4154,4736,0,0,5
Georgia,11,22778,0,24481,0,0
Illinois,5,18369,15220,0,0,0
Indiana,9,32478,41281,0,0,0
Kentucky,15,33229,36861,0,0,0
Louisiana,5,3842,0,3583,0,0
Maine,10,22825,14803,0,0,1112
Maryland,10,22267,25852,0,0,0
Massachusetts,14,33486,0,0,41201,45
Michigan,3,7122,5545,0,0,0
Mississippi,4,10297,0,9782,0,0
Missouri,4,10995,0,7337,0,0
New Hampshire,7,18697,6228,0,0,0
New Jersey,8,25592,26137,0,0,0
New York,42,166795,138548,0,0,0
North Carolina,15,26631,0,23521,0,1
Ohio,21,96238,104958,0,0,1137
Pennsylvania,30,91457,87235,0,0,0
Rhode Island,4,2964,2710,0,0,0
Tennessee,15,26170,0,36027,0,0
Vermont,7,14037,20994,0,0,0
Virginia,23,30556,0,23384,0,5
