state,ecvotes,whig,dem,freesoil,other
Alabama,9,30482,31173,0,4
Arkansas,3,7587,9301,0,0
Connecticut,6,30318,27051,5005,24
Delaware,3,6440,5910,82,0
Florida,3,4120,3083,0,0
Georgia,10,47532,44785,0,0
Illinois,9,52853,55952,15702,89
Indiana,12,69907,74745,8100,0
Iowa,4,9930,11238,1103,0
Kentucky,12,67145,49720,0,0
Louisiana,6,18487,15379,0,0
Maine,9,35273,40195,12157,0
Maryland,8,37702,34528,129,0
Massachusetts,12,61072,35281,38333,62
Michigan,5,23947,30742,10393,0
Mississippi,6,25911,26545,0,0
Missouri,7,32671,40077,0,0
New Hampshire,6,14781,27763,7560,0
New Jersey,7,40015,36901,819,0
New York,36,218583,114319,120497,2545
North Carolina,11,44054,35772,0,26
Ohio,23,138359,154773,35347,0
Pennsylvania,26,185313,171976,11263,0
Rhode Island,4,6779,3646,730,0
Tennessee,13,64321,58142,0,0
Texas,4,4509,10668,0,0
Vermont,6,23132,10948,13837,5
Virginia,17,45265,46739,0,0
Wisconsin,4,13747,15001,10418,0
