state,ecvotes,dem,rep,other
Alabama,10,102989,68708,2
Arkansas,6,58086,38649,211
California,6,76460,79258,66
Colorado,3,0,1,
Connecticut,6,61927,59033,1174
Delaware,3,13381,10752,0
Florida,4,22927,23849,0
Georgia,11,130157,50533,0
Illinois,21,258611,278232,17384
Indiana,15,213526,208011,17374
Iowa,11,112121,171326,9431
Kansas,5,37902,78324,7908
Kentucky,12,160060,97568,2998
Louisiana,8,70508,75315,0
Maine,7,49917,66300,828
Maryland,8,91779,71980,0
Massachusetts,13,108777,150064,779
Michigan,11,141685,166901,9864
Minnesota,5,48587,72955,2533
Mississippi,8,112173,52603,0
Missouri,15,202086,145027,3497
Nebraska,3,17413,31915,0
Nevada,3,9308,10383,0
New Hampshire,5,38510,41540,91
New Jersey,9,115962,103517,714
New York,35,521949,489207,4347
North Carolina,10,125427,108484,0
Ohio,22,323182,330698,4769
Oregon,3,14157,15214,510
Pennsylvania,29,366204,384184,8605
Rhode Island,4,10712,15787,128
South Carolina,7,90897,91786,0
Tennessee,12,133177,89566,0
Texas,8,104755,44800,0
Vermont,5,20254,44091,208
Virginia,11,140770,95518,0
West Virginia,5,56546,41997,1104
Wisconsin,10,123926,130067,3184
