state,ecvotes,rep,dem,progressive,other
Alabama,12,40615,113138,8040,562
Arizona,3,30516,26235,17210,0
Arkansas,9,40564,84795,13173,0
California,13,733250,105514,424649,18487
Colorado,6,195171,75238,69945,1906
Connecticut,7,246322,110184,42416,1373
Delaware,3,52441,33445,4979,20
Florida,6,30633,62083,8625,7813
Georgia,14,30300,123200,12691,386
Idaho,4,69879,24256,54160,0
Illinois,29,1453321,576975,432027,7744
Indiana,15,703042,492245,71700,5403
Iowa,13,537458,160382,274448,4482
Kansas,10,407671,156319,98461,3
Kentucky,13,398966,374855,38465,3046
Louisiana,10,24670,93218,0,4063
Maine,6,138440,41964,11382,406
Maryland,8,162414,148072,47157,987
Massachusetts,18,703476,280831,141225,4305
Michigan,15,874631,152359,122014,11415
Minnesota,12,420759,55913,339192,6282
Mississippi,10,8494,100474,3494,0
Missouri,18,648486,572753,84160,2559
Montana,4,74138,33805,66123,357
Nebraska,8,218585,137289,106701,1598
Nevada,3,11243,5909,9769,0
New Hampshire,4,98575,57201,8993,0
New Jersey,14,675162,297743,108901,4273
New Mexico,3,54745,48542,9543,0
New York,45,1820058,950796,474913,18172
North Carolina,12,191753,284270,6651,13
North Dakota,5,94931,13858,89922,370
Ohio,24,1176130,477888,357948,4271
Oklahoma,10,226242,255798,46375,0
Oregon,5,142579,67589,68403,917
Pennsylvania,38,1401481,409192,307567,26610
Rhode Island,5,125286,76606,7628,595
South Carolina,9,1123,49008,620,1
South Dakota,5,101299,27214,75355,0
Tennessee,12,130728,158682,10610,200
Texas,20,130023,484605,42881,0
Utah,4,77327,47001,32662,0
Vermont,4,80498,16124,5964,331
Virginia,12,73312,139716,10377,197
Washington,7,220224,42842,150727,7756
West Virginia,8,288635,257232,36723,1072
Wisconsin,13,311614,68115,453678,7419
Wyoming,3,41858,12868,25174,0
