state,ecvotes,rep,dem,other
Alabama,9,728701,256923,20469
Alaska,3,55349,32967,6903
Arizona,6,402812,198540,52153
Arkansas,6,445751,198899,3016
California,45,4602096,3475847,289919
Colorado,7,597189,329980,26715
Connecticut,8,810763,555498,18016
Delaware,3,140357,92283,2876
D. C.,3,35226,127627,568
Florida,17,1857759,718117,7407
Georgia,12,881496,289529,3747
Hawaii,4,168865,101409,0
Idaho,4,199384,80826,30169
Illinois,26,2788179,1913472,21585
Indiana,13,1405154,708568,11807
Iowa,8,706207,496206,23531
Kansas,7,619812,270287,25996
Kentucky,9,676446,371159,19894
Louisiana,10,686852,298142,66497
Maine,4,256458,160584,229
Maryland,10,829305,505781,18726
Massachusetts,14,1112078,1332540,14138
Michigan,21,1961721,1459435,69169
Minnesota,10,898269,802346,41037
Mississippi,7,505125,126782,14056
Missouri,12,1154058,698531,0
Montana,4,183976,120197,13430
Nebraska,5,406298,169991,0
Nevada,3,115750,66016,0
New Hampshire,4,213724,116435,3900
New Jersey,17,1845502,1102211,49516
New Mexico,4,235606,141084,9241
New York,41,4192778,2951084,17968
North Carolina,13,1054889,438705,25018
North Dakota,3,174109,100384,6021
Ohio,25,2441827,1558889,94071
Oklahoma,8,759025,247147,23728
Oregon,6,486686,392760,48500
Pennsylvania,27,2714521,1796951,80633
Rhode Island,4,220383,194645,780
South Carolina,8,478427,189270,10183
South Dakota,4,166476,139945,994
Tennessee,10,813147,357293,30742
Texas,26,2298896,1154291,19527
Utah,4,323643,126284,28549
Vermont,3,117149,68174,1623
Virginia,12,988493,438887,29639
Washington,9,837135,568334,65378
West Virginia,6,484964,277435,0
Wisconsin,11,989430,810174,53286
Wyoming,3,100464,44358,748
