state,ecvotes,dem,rep,green,other
Alabama,9,695602,944409,18349,14191
Alaska,3,79004,167398,28747,10411
Arizona,8,685341,781652,45645,21475
Arkansas,6,422768,472940,13421,12652
California,54,5861203,4567429,418707,118517
Colorado,8,738227,883745,91434,27959
Connecticut,8,816015,561094,64452,17964
Delaware,3,180068,137288,8307,1959
D. C.,3,171923,18073,10576,1322
Florida,25,2912253,2912790,97488,40579
Georgia,13,1116230,1419720,13432,47422
Hawaii,4,205286,137845,21623,3197
Idaho,4,138637,336937,12292,13755
Illinois,22,2589026,2019421,103759,29917
Indiana,12,901980,1245836,18531,32955
Iowa,7,638517,634373,29374,13299
Kansas,6,399276,622332,36086,14522
Kentucky,8,638898,872492,23192,9605
Louisiana,9,792344,927871,20473,24968
Maine,4,319951,286616,37127,8123
Maryland,10,1145782,813797,53768,12133
Massachusetts,12,1616487,878502,173564,34431
Michigan,18,2170418,1953139,84165,24989
Minnesota,10,1168266,1109659,126696,34064
Mississippi,7,404964,573230,8126,8606
Missouri,11,1111138,1189924,38515,20315
Montana,3,137126,240178,24437,9256
Nebraska,5,231780,433862,24540,6837
Nevada,4,279978,301575,15008,12409
New Hampshire,4,266348,273559,22198,6976
New Jersey,15,1788850,1284173,94554,19649
New Mexico,5,286783,286417,21251,4154
New York,33,4113791,2405676,244398,67313
North Carolina,14,1257692,1631163,0,22407
North Dakota,3,95284,174852,9497,8634
Ohio,21,2186190,2351209,117857,50201
Oklahoma,8,474276,744337,0,15616
Oregon,7,720342,713577,77357,22692
Pennsylvania,23,2485967,2281127,103392,42633
Rhode Island,4,249508,130555,25052,3997
South Carolina,8,566039,786426,20279,11033
South Dakota,3,118804,190700,0,6765
Tennessee,11,981720,1061949,19781,12731
Texas,32,2433746,3799639,137994,36258
Utah,5,203053,515096,35850,16755
Vermont,3,149022,119775,20374,5137
Virginia,13,1217290,1437490,59398,25269
Washington,11,1247652,1108864,103002,29227
West Virginia,5,295497,336475,10680,5472
Wisconsin,11,1242987,1237279,94070,24271
Wyoming,3,60481,147947,4625,5298
